scene,outfit,pose,location,camera,category,emotion,lighting
messy morning mirror selfie,oversized sleep shirt hanging off one shoulder,holding phone slightly above face tilted head,cluttered bedroom mirror with charging cable and lamp visible,iPhone selfie slightly above eye level,morning,sleepy half-smile eyes barely open,soft warm window light from side
stretching beside bedroom window,fitted ribbed tank top and sleep shorts,arms raised mid-stretch arching back,apartment bedroom with sunlight streaming through blinds,medium shot from bed level,morning,relaxed morning stretch expression eyes closed,warm early golden sunlight through blinds
coffee first sip sitting on bed,oversized knit sweater falling off one shoulder,holding mug with both hands knees tucked up,messy bed with rumpled pillows and sheets,close-up from pillow level,morning,peaceful sleepy smile looking down at mug,soft diffused morning window light
fixing messy hair bathroom mirror,ribbed tank top,one hand running through tangled hair looking in mirror,small bathroom with toothbrush holder and hand towel,close-up mirror reflection,morning,focused casual expression lips slightly parted,warm vanity bulb lighting
making coffee at kitchen counter,oversized tee shirt,leaning slightly on counter reaching for mug,apartment kitchen with dishes in sink and fridge magnets,medium shot from doorway candid,morning,sleepy amused yawn half-smile,soft grey early morning light through kitchen window
couch scrolling evening,cropped hoodie and fitted sweatpants,lying sideways on couch one arm behind head phone in other hand,messy living room couch with throw blanket and empty mug on table,overhead angle looking down,cozy,relaxed bored expression looking at phone,warm dim lamp light with TV glow
blanket movie night,oversized knit sweater and fuzzy socks,curled up wrapped in blanket holding remote control,couch with popcorn bowl and dimmed lamp,close-up from couch cushion level,cozy,soft amused smile watching screen,warm TV glow only with low ambient
rainy window contemplation,thin fitted long-sleeve henley and leggings,knees pulled to chest arms wrapped looking outside,window seat with throw pillow condensation on glass grey sky,close-up from inside moody angle,cozy,pensive calm thoughtful expression,cool grey rainy daylight through fogged window
floor laptop studying,fitted scoop-neck long-sleeve and joggers,sitting cross-legged on floor laptop on coffee table leaning forward,carpeted living room floor with papers mug and phone,medium shot from slightly above,cozy,focused concentrated slight lip bite,soft daylight from window mixed with screen glow
reading corner couch,soft open cardigan over fitted tank and shorts,curled up reading book one leg tucked under,cozy couch corner with throw pillows and warm blanket,medium shot from side,cozy,peaceful absorbed slight smile,soft warm lamp light from behind
grocery aisle candid,casual fitted crop top and high-waisted jeans,pushing cart one hand on hip looking at products,grocery store aisle with cereal boxes and strip lighting,medium shot from end of aisle caught off guard,errands,distracted half-smile not looking at camera,flat fluorescent grocery store lights
parking garage walking to car,cropped hoodie and fitted leggings,walking toward camera car keys in hand looking back,concrete parking garage with pillars and fluorescent tubes,full body shot from behind at angle,errands,casual confident glance over shoulder,greenish garage fluorescent lighting
gas station stop,zip hoodie and shorts,leaning against car at pump holding snack,gas station with price signs canopy lights another customer nearby,full body shot from front,errands,playful smile looking at camera,harsh overhead canopy fluorescents mixed with late sun
coffee shop waiting,fitted sweater tucked into jeans,standing at counter holding coffee cup looking sideways at menu,café counter with chalkboard menu and warm decor,medium shot from side,errands,amused knowing smile,warm café pendant lighting
sidewalk walking downtown,cropped leather jacket over fitted tank and jeans with ankle boots,walking mid-stride one hand in pocket,busy city sidewalk with storefronts and pedestrians,full body candid from across street,errands,confident relaxed expression looking ahead,overcast flat city daylight
bathroom mirror selfie,fitted crop top showing midriff,mirror selfie phone at waist level one hip shifted,bathroom with vanity lights and towel rack visible,iPhone mirror selfie,selfies,playful confident smile direct eye contact,warm overhead bathroom vanity lights
car golden hour selfie,casual hoodie slightly unzipped over tank,sitting in parked car window down arm resting on door sun on face,car interior with steering wheel and trees through window,iPhone close-up selfie natural light,selfies,warm genuine smile squinting slightly,golden hour sunlight streaming through car window
